year,age,sex,people
1850,0,1,0
1850,0,2,0
1850,5,1,0
1850,5,2,0
1850,10,1,0
1850,10,2,0
1850,15,1,0
1850,15,2,0
1850,20,1,0
1850,20,2,0
1850,25,1,0
1850,25,2,0
1850,30,1,0
1850,30,2,0
1850,35,1,0
1850,35,2,0
1850,40,1,0
1850,40,2,0
1850,45,1,0
1850,45,2,0
1850,50,1,0
1850,50,2,0
1850,55,1,0
1850,55,2,0
1850,60,1,0
1850,60,2,0
1850,65,1,0
1850,65,2,0
1850,70,1,0
1850,70,2,0
1850,75,1,0
1850,75,2,0
1850,80,1,0
1850,80,2,0
1850,85,1,0
1850,85,2,0
1850,90,1,0
1850,90,2,0
1860,0,1,0
1860,0,2,0
1860,5,1,0
1860,5,2,0
1860,10,1,0
1860,10,2,0
1860,15,1,0
1860,15,2,0
1860,20,1,0
1860,20,2,0
1860,25,1,0
1860,25,2,0
1860,30,1,0
1860,30,2,0
1860,35,1,0
1860,35,2,0
1860,40,1,0
1860,40,2,0
1860,45,1,0
1860,45,2,0
1860,50,1,0
1860,50,2,0
1860,55,1,0
1860,55,2,0
1860,60,1,0
1860,60,2,0
1860,65,1,0
1860,65,2,0
1860,70,1,0
1860,70,2,0
1860,75,1,0
1860,75,2,0
1860,80,1,0
1860,80,2,0
1860,85,1,0
1860,85,2,0
1860,90,1,0
1860,90,2,0
1870,0,1,0
1870,0,2,0
1870,5,1,0
1870,5,2,0
1870,10,1,0
1870,10,2,0
1870,15,1,0
1870,15,2,0
1870,20,1,0
1870,20,2,0
1870,25,1,0
1870,25,2,0
1870,30,1,0
1870,30,2,0
1870,35,1,0
1870,35,2,0
1870,40,1,0
1870,40,2,0
1870,45,1,0
1870,45,2,0
1870,50,1,0
1870,50,2,0
1870,55,1,0
1870,55,2,0
1870,60,1,0
1870,60,2,0
1870,65,1,0
1870,65,2,0
1870,70,1,0
1870,70,2,0
1870,75,1,0
1870,75,2,0
1870,80,1,0
1870,80,2,0
1870,85,1,0
1870,85,2,0
1870,90,1,0
1870,90,2,0
1880,0,1,0
1880,0,2,0
1880,5,1,0
1880,5,2,0
1880,10,1,0
1880,10,2,0
1880,15,1,0
1880,15,2,0
1880,20,1,0
1880,20,2,0
1880,25,1,0
1880,25,2,0
1880,30,1,0
1880,30,2,0
1880,35,1,0
1880,35,2,0
1880,40,1,0
1880,40,2,0
1880,45,1,0
1880,45,2,0
1880,50,1,0
1880,50,2,0
1880,55,1,0
1880,55,2,0
1880,60,1,0
1880,60,2,0
1880,65,1,0
1880,65,2,0
1880,70,1,0
1880,70,2,0
1880,75,1,0
1880,75,2,0
1880,80,1,0
1880,80,2,0
1880,85,1,0
1880,85,2,0
1880,90,1,0
1880,90,2,0
1900,0,1,0
1900,0,2,0
1900,5,1,0
1900,5,2,0
1900,10,1,0
1900,10,2,0
1900,15,1,0
1900,15,2,0
1900,20,1,0
1900,20,2,0
1900,25,1,0
1900,25,2,0
1900,30,1,0
1900,30,2,0
1900,35,1,0
1900,35,2,0
1900,40,1,0
1900,40,2,0
1900,45,1,0
1900,45,2,0
1900,50,1,0
1900,50,2,0
1900,55,1,0
1900,55,2,0
1900,60,1,0
1900,60,2,0
1900,65,1,0
1900,65,2,0
1900,70,1,0
1900,70,2,0
1900,75,1,0
1900,75,2,0
1900,80,1,0
1900,80,2,0
1900,85,1,0
1900,85,2,0
1900,90,1,0
1900,90,2,0
1910,0,1,0
1910,0,2,0
1910,5,1,0
1910,5,2,0
1910,10,1,0
1910,10,2,0
1910,15,1,0
1910,15,2,0
1910,20,1,0
1910,20,2,0
1910,25,1,0
1910,25,2,0
1910,30,1,0
1910,30,2,0
1910,35,1,0
1910,35,2,0
1910,40,1,0
1910,40,2,0
1910,45,1,0
1910,45,2,0
1910,50,1,0
1910,50,2,0
1910,55,1,0
1910,55,2,0
1910,60,1,0
1910,60,2,0
1910,65,1,0
1910,65,2,0
1910,70,1,0
1910,70,2,0
1910,75,1,0
1910,75,2,0
1910,80,1,0
1910,80,2,0
1910,85,1,0
1910,85,2,0
1910,90,1,0
1910,90,2,0
1920,0,1,0
1920,0,2,0
1920,5,1,0
1920,5,2,0
1920,10,1,0
1920,10,2,0
1920,15,1,0
1920,15,2,0
1920,20,1,0
1920,20,2,0
1920,25,1,0
1920,25,2,0
1920,30,1,0
1920,30,2,0
1920,35,1,0
1920,35,2,0
1920,40,1,0
1920,40,2,0
1920,45,1,0
1920,45,2,0
1920,50,1,0
1920,50,2,0
1920,55,1,0
1920,55,2,0
1920,60,1,0
1920,60,2,0
1920,65,1,0
1920,65,2,0
1920,70,1,0
1920,70,2,0
1920,75,1,0
1920,75,2,0
1920,80,1,0
1920,80,2,0
1920,85,1,0
1920,85,2,0
1920,90,1,0
1920,90,2,0
1930,0,1,0
1930,0,2,0
1930,5,1,0
1930,5,2,0
1930,10,1,0
1930,10,2,0
1930,15,1,0
1930,15,2,0
1930,20,1,0
1930,20,2,0
1930,25,1,0
1930,25,2,0
1930,30,1,0
1930,30,2,0
1930,35,1,0
1930,35,2,0
1930,40,1,0
1930,40,2,0
1930,45,1,0
1930,45,2,0
1930,50,1,0
1930,50,2,0
1930,55,1,0
1930,55,2,0
1930,60,1,0
1930,60,2,0
1930,65,1,0
1930,65,2,0
1930,70,1,0
1930,70,2,0
1930,75,1,0
1930,75,2,0
1930,80,1,0
1930,80,2,0
1930,85,1,0
1930,85,2,0
1930,90,1,0
1930,90,2,0
1940,0,1,0
1940,0,2,0
1940,5,1,0
1940,5,2,0
1940,10,1,0
1940,10,2,0
1940,15,1,0
1940,15,2,0
1940,20,1,0
1940,20,2,0
1940,25,1,0
1940,25,2,0
1940,30,1,0
1940,30,2,0
1940,35,1,0
1940,35,2,0
1940,40,1,0
1940,40,2,0
1940,45,1,0
1940,45,2,0
1940,50,1,0
1940,50,2,0
1940,55,1,0
1940,55,2,0
1940,60,1,0
1940,60,2,0
1940,65,1,0
1940,65,2,0
1940,70,1,0
1940,70,2,0
1940,75,1,0
1940,75,2,0
1940,80,1,0
1940,80,2,0
1940,85,1,0
1940,85,2,0
1940,90,1,0
1940,90,2,0
1950,0,1,0
1950,0,2,0
1950,5,1,0
1950,5,2,0
1950,10,1,0
1950,10,2,0
1950,15,1,0
1950,15,2,0
1950,20,1,0
1950,20,2,0
1950,25,1,0
1950,25,2,0
1950,30,1,0
1950,30,2,0
1950,35,1,0
1950,35,2,0
1950,40,1,0
1950,40,2,0
1950,45,1,0
1950,45,2,0
1950,50,1,0
1950,50,2,0
1950,55,1,0
1950,55,2,0
1950,60,1,0
1950,60,2,0
1950,65,1,0
1950,65,2,0
1950,70,1,0
1950,70,2,0
1950,75,1,0
1950,75,2,0
1950,80,1,0
1950,80,2,0
1950,85,1,0
1950,85,2,0
1950,90,1,0
1950,90,2,0
1960,0,1,0
1960,0,2,0
1960,5,1,0
1960,5,2,0
1960,10,1,0
1960,10,2,0
1960,15,1,0
1960,15,2,0
1960,20,1,0
1960,20,2,0
1960,25,1,0
1960,25,2,0
1960,30,1,0
1960,30,2,0
1960,35,1,0
1960,35,2,0
1960,40,1,0
1960,40,2,0
1960,45,1,0
1960,45,2,0
1960,50,1,0
1960,50,2,0
1960,55,1,0
1960,55,2,0
1960,60,1,0
1960,60,2,0
1960,65,1,0
1960,65,2,0
1960,70,1,0
1960,70,2,0
1960,75,1,0
